"Number","CellType"
1,"A-IC"
2,"ALOH"
3,"B_Lymphocyte"
4,"B-IC"
5,"Baso"
6,"CD PC"
7,"CD4 T"
8,"CD8 effector"
9,"CD8 T"
10,"CNT"
11,"DC"
12,"DCT"
13,"Endo"
14,"GEC"
15,"Macro"
16,"Mono"
17,"Neutro"
18,"NK"
19,"NKT"
20,"pDC"
21,"Podo"
22,"Profibrotic Tubules"
23,"Prolif Ly"
24,"Prolif PT"
25,"Th17"
26,"Trans IC"
27,"Treg"
