cell_type	cluster	score	n_markers_used
CD_PC	g25	0.0943218260705527	2
CD_PC	g26	0.013485994794406	2
A_IC	g0	0.02602717125461	2
A_IC	g1	0.0240873407230726	2
A_IC	g2	0.0846529628761033	2
A_IC	g3	0.0873854082640507	2
A_IC	g4	0.0905454115969205	2
A_IC	g5	0.021568637857984	2
A_IC	g6	0.0351024496750448	2
A_IC	g7	0.0267104273838938	2
A_IC	g8	0.0753851230116492	2
A_IC	g9	0.0186534056802744	2
A_IC	g10	0.0152881393866933	2
A_IC	g11	12.3467975363856	2
A_IC	g12	4.58429327325683	2
A_IC	g13	0.0216834315858969	2
A_IC	g14	0.0088430111860166	2
A_IC	g15	3.81944202933764	2
A_IC	g16	0.0233303944936916	2
A_IC	g17	0.0131806371982805	2
A_IC	g18	0.0215929307127515	2
A_IC	g19	0.0410281776709044	2
A_IC	g20	0.0183700150823011	2
A_IC	g21	0.0513631777952167	2
A_IC	g22	0.0506419652160805	2
A_IC	g23	0.00484863530310759	2
A_IC	g24	0.0282294489611563	2
A_IC	g25	0.0156529797012159	2
A_IC	g26	0	2
B_IC	g0	0.0321258990289964	2
B_IC	g1	0.0211140482452426	2
B_IC	g2	0.1191060937441	2
B_IC	g3	0.115176900104509	2
B_IC	g4	0.0944682606960635	2
B_IC	g5	0.0317981434943974	2
B_IC	g6	0.102028088552206	2
B_IC	g7	0.0230951471986914	2
B_IC	g8	0.0762851521666498	2
B_IC	g9	0.0300709703659685	2
B_IC	g10	0.0211578763755604	2
B_IC	g11	2.87589915471596	2
B_IC	g12	8.224723722064	2
B_IC	g13	0.0520449200582306	2
B_IC	g14	0.0192354768450318	2
B_IC	g15	10.6438005667054	2
B_IC	g16	0.0233303944936916	2
B_IC	g17	0.0466022145425598	2
B_IC	g18	0.0303516456340982	2
B_IC	g19	0.0222151848778871	2
B_IC	g20	0.0266035721754192	2
B_IC	g21	0.0609450220860901	2
B_IC	g22	0.0915186677404571	2
B_IC	g23	0.0160970740042548	2
B_IC	g24	0	2
B_IC	g25	0.0156529797012159	2
B_IC	g26	0.00534570686281847	2
Tra_IC	g0	0.0351444732432855	1
Tra_IC	g1	0.0333157008489942	1
Tra_IC	g2	0.149694905742297	1
Tra_IC	g3	0.15560735235639	1
Tra_IC	g4	0.11825329518069	1
Tra_IC	g5	0.0355963588538627	1
Tra_IC	g6	0.0467097989888172	1
Tra_IC	g7	0.0222223838340575	1
Tra_IC	g8	0.10031868667624	1
Tra_IC	g9	0.0252256609238327	1
Tra_IC	g10	0.02564756765106	1
Tra_IC	g11	5.694069261062	1
Tra_IC	g12	7.44820628669802	1
Tra_IC	g13	0.03329015362653	1
Tra_IC	g14	0.0149571475471587	1
Tra_IC	g15	7.40987870253286	1
Tra_IC	g16	0.0466607889873833	1
Tra_IC	g17	0.0137152763491032	1
Tra_IC	g18	0.0431858614255029	1
Tra_IC	g19	0.034947652008868	1
Tra_IC	g20	0.0219840643276143	1
Tra_IC	g21	0.0849490202707791	1
Tra_IC	g22	0.087600015190332	1
Tra_IC	g23	0.00969727060621518	1
Tra_IC	g24	0	1
Tra_IC	g25	0.0313059594024318	1
Tra_IC	g26	0	1
Neutro	g0	0	1
Neutro	g1	0.0141344393508209	1
Neutro	g2	0.00106328355358721	1
Neutro	g3	0	1
Neutro	g4	0	1
Neutro	g5	0	1
Neutro	g6	0	1
Neutro	g7	2.25564209842452	1
Neutro	g8	0	1
Neutro	g9	0	1
Neutro	g10	0.00351022035759317	1
Neutro	g11	0.00294205389489689	1
Neutro	g12	0	1
Neutro	g13	0	1
Neutro	g14	0.00187983564221013	1
Neutro	g15	0	1
Neutro	g16	0	1
Neutro	g17	0	1
Neutro	g18	0	1
Neutro	g19	0.0916518974133909	1
Neutro	g20	0	1
Neutro	g21	0	1
Neutro	g22	0.096562169103224	1
Neutro	g23	0.382408198384841	1
Neutro	g24	0	1
Neutro	g25	0.0149411170576757	1
Neutro	g26	0	1
Mono	g0	0	1
Mono	g1	0.0141344393508209	1
Mono	g2	0.00106328355358721	1
Mono	g3	0	1
Mono	g4	0	1
Mono	g5	0	1
Mono	g6	0	1
Mono	g7	2.25564209842452	1
Mono	g8	0	1
Mono	g9	0	1
Mono	g10	0.00351022035759317	1
Mono	g11	0.00294205389489689	1
Mono	g12	0	1
Mono	g13	0	1
Mono	g14	0.00187983564221013	1
Mono	g15	0	1
Mono	g16	0	1
Mono	g17	0	1
Mono	g18	0	1
